Utc	GPSLat	GPSLon	Heel	Boatspeed	AW_angle	AW_speed	Leeway	Course	TW_Dirn	TW_angle	TW_speed	Ext_SOG	Ext_COG	MCur_Rate	MCur_Dir	HDG
44254.6308565	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.17	331.31	150.2
44254.6308681	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.18	331.28	150.2
44254.6308796	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.18	331.25	150.2
44254.6308912	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.18	331.25	150.2
44254.6309028	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.19	331.25	150.2
44254.6309144	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.19	331.25	150.2
44254.6309259	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.2	331.25	150.2
44254.6309375	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.2	331.25	150.2
44254.6309491	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.21	331.24	150.2
44254.6309606	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.21	331.24	150.2
44254.6309722	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.22	331.23	150.2
44254.6309838	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.22	331.23	150.2
44254.6309954	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.23	331.24	150.2
44254.6310069	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.23	331.24	150.2
44254.6310185	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.23	331.24	150.2
44254.6310301	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.23	331.24	150.2
44254.6310417	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.24	331.25	150.2
44254.6310532	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.24	331.25	150.2
44254.6310648	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.25	331.25	150.2
44254.6310764	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.25	331.25	150.2
44254.631088	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.26	331.24	150.2
44254.6310995	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.26	331.24	150.2
44254.6311111	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.27	331.24	150.2
44254.6311227	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.27	331.24	150.2
44254.6311343	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.28	331.23	150.2
44254.6311458	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.28	331.23	150.2
44254.6311574	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.28	331.21	150.2
44254.631169	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.28	331.21	150.2
44254.6311806	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.29	331.22	150.2
44254.6311921	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.29	331.22	150.2
44254.6312037	-3346.8693	15119.2545	5.2	6.41	-80	5.3	1.1	151.3	15.9	-135.4	7.5	7.1	152.2	6.3	331.22	150.2
